corridor,tmc_code,selection_position,period,road_order,gmns_link_count,gmns_link_ids,taplite_period_volume,taplite_period_doc,taplite_period_p_hours,cube_period_volume,cube_period_doc,cube_period_p_hours,model_speed_min_mph,model_speed_max_mph,model_speed_unique_value_count,cube_speed_min_mph,cube_speed_max_mph,cube_speed_unique_value_count
I495_CW,110P04646,behavior_diverse_2_of_5,AM,62.000000,1.000000,28734,8525.871400,0.498600,0.000000,9545.078130,0.558192,1.845317,63.601333,64.646000,12,29.167240,64.604696,12
I495_CW,110P04646,behavior_diverse_2_of_5,MD,62.000000,1.000000,28734,13526.000000,0.395500,0.000000,16735.576170,0.489344,3.293750,62.183667,63.595667,24,26.629064,63.593928,24
I495_CW,110P04646,behavior_diverse_2_of_5,PM,62.000000,1.000000,28734,10101.951700,0.443100,0.000000,13872.955080,0.608463,2.809722,61.432667,62.180333,16,23.042086,62.176245,16
I495_CW,110P04647,behavior_diverse_3_of_5,AM,64.000000,1.000000,32337,13561.838700,0.594800,0.000000,17754.039060,0.778686,2.614859,60.811667,63.250000,12,25.460144,63.107987,12
I495_CW,110P04647,behavior_diverse_3_of_5,MD,64.000000,1.000000,32337,26068.157400,0.571700,0.000000,33843.492190,0.742182,5.087519,46.616667,60.788000,24,21.357182,60.798637,24
I495_CW,110P04647,behavior_diverse_3_of_5,PM,64.000000,1.000000,32337,15786.844500,1.817100,9.299819,24904.496090,2.866586,15.313228,12.031667,59.282667,16,8.684551,59.169075,16
I495_CW,110+04606,behavior_diverse_4_of_5,AM,73.000000,3.000000,31972;32702;32698,13532.697700,1.552500,5.270629,18920.037110,2.170595,7.368855,28.103333,54.097000,12,27.863786,53.988419,12
I495_CW,110+04606,behavior_diverse_4_of_5,MD,73.000000,3.000000,31972;32702;32698,27208.627400,0.566800,0.000000,33680.343750,0.701674,4.852902,36.886333,53.614667,24,21.281967,53.873860,24
I495_CW,110+04606,behavior_diverse_4_of_5,PM,73.000000,3.000000,31972;32702;32698,17402.277700,0.543800,0.000000,25174.564450,0.786705,3.700306,53.636000,55.773333,16,24.050626,55.769298,16
I495_CW,110+04613,corridor_end,AM,87.000000,3.000000,32016;32759;32761,21569.320800,0.719000,0.000000,25168.087890,0.838936,2.911906,48.507667,57.763333,12,25.731403,57.772510,12
I495_CW,110+04613,corridor_end,MD,87.000000,3.000000,32016;32759;32761,29407.318700,0.490100,0.000000,38725.871090,0.645431,4.406111,14.730000,48.438000,24,14.915387,50.804382,24
I495_CW,110+04613,corridor_end,PM,87.000000,3.000000,32016;32759;32761,21772.979900,2.177300,10.532788,31053.419920,3.105342,15.310455,13.353353,23.027155,16,9.463291,23.025012,16
I495_NB,110P17033,only,AM,1.500000,1.000000,35788,13387.772300,0.557800,0.000000,19592.509770,0.816355,2.771405,56.604333,67.745000,12,28.973204,67.608287,12
I495_NB,110P17033,only,MD,1.500000,1.000000,35788,29257.198200,0.609500,0.000000,38123.328130,0.794236,5.510259,56.569333,66.032667,24,19.963598,66.002035,24
I495_NB,110P17033,only,PM,1.500000,1.000000,35788,25240.362700,0.788800,0.000000,28760.937500,0.898779,4.237220,65.690667,66.041000,16,22.356179,65.924958,16
I495_SB,110N17033,only,AM,15.500000,1.000000,33026,16435.015000,0.684800,0.000000,19561.216800,0.815051,2.766979,68.067333,68.988667,12,29.174711,68.744099,12
I495_SB,110N17033,only,MD,15.500000,1.000000,33026,29544.406100,0.615500,0.000000,40761.167970,0.849191,5.901468,68.085667,68.991333,24,19.248900,68.935947,24
I495_SB,110N17033,only,PM,15.500000,1.000000,33026,18419.046500,0.575600,0.000000,28993.658200,0.906052,4.272102,66.428667,68.081000,16,22.256685,67.949877,16
I66_EB,110P58625,corridor_start,AM,1.000000,2.000000,38189;39167,10695.586700,0.594200,0.000000,13130.448240,0.729469,2.543742,69.688000,70.877333,12,25.388899,70.725591,12
I66_EB,110P58625,corridor_start,MD,1.000000,2.000000,38189;39167,15217.338900,0.422700,0.000000,20779.109380,0.577197,4.073262,69.129000,69.682667,24,23.455731,69.678420,24
I66_EB,110P58625,corridor_start,PM,1.000000,2.000000,38189;39167,11443.818100,0.476800,0.000000,12817.776370,0.534074,2.465197,68.687667,69.127333,16,28.104991,69.119378,16
I66_EB,110N04187,behavior_diverse_2_of_5,AM,20.000000,1.000000,40899,1841.161500,0.153400,0.000000,808.977840,0.067415,0.233281,69.752667,70.892333,12,64.787290,73.316794,12
I66_EB,110N04187,behavior_diverse_2_of_5,MD,20.000000,1.000000,40899,2585.287900,0.107700,0.000000,946.476620,0.039437,0.234071,69.748000,69.882000,24,65.890929,74.108895,24
I66_EB,110N04187,behavior_diverse_2_of_5,PM,20.000000,1.000000,40899,1108.602300,0.069300,0.000000,633.020750,0.039564,0.155936,69.136667,69.880333,16,68.039538,74.166275,16
I66_EB,110N04184,behavior_diverse_3_of_5,AM,26.000000,1.000000,39147,104.026400,0.026000,0.089993,2433.760740,0.608440,2.105436,44.921333,74.142333,12,31.944307,57.830369,12
I66_EB,110N04184,behavior_diverse_3_of_5,MD,26.000000,1.000000,39147,3803.930900,0.158500,0.000000,2306.102540,0.096088,0.591553,44.544000,61.996667,24,44.640326,72.076852,24
I66_EB,110N04184,behavior_diverse_3_of_5,PM,26.000000,1.000000,39147,2338.337500,0.146100,0.000000,2444.905270,0.152807,0.638014,62.024333,66.846000,16,56.182808,71.109157,16
I66_EB,110N04179,behavior_diverse_4_of_5,AM,36.000000,1.000000,31804,12804.805100,1.383800,4.774045,16924.142580,1.828914,6.393167,18.784667,63.991333,12,15.982936,63.980583,12
I66_EB,110N04179,behavior_diverse_4_of_5,MD,36.000000,1.000000,31804,19420.217600,0.425900,0.000000,26355.761720,0.577977,3.918790,21.759667,29.740000,24,21.903664,37.191392,24
I66_EB,110N04179,behavior_diverse_4_of_5,PM,36.000000,1.000000,31804,8639.822100,1.063800,5.177191,18566.771480,2.286075,11.955140,16.955667,55.303333,16,10.247632,54.712348,16
I66_EB,110-04163,corridor_end,AM,66.000000,1.000000,26306,3025.335300,0.530800,0.000000,3267.340580,0.573218,1.968390,48.736333,55.344000,12,21.587100,55.469517,12
I66_EB,110-04163,corridor_end,MD,66.000000,1.000000,26306,7045.442000,0.618000,0.000000,9322.507810,0.817764,5.860943,45.065333,48.706667,24,15.482674,48.714045,24
I66_EB,110-04163,corridor_end,PM,66.000000,1.000000,26306,5582.318900,0.733500,3.479098,6615.660640,0.869233,4.136556,17.188000,42.078333,16,16.570538,39.176234,16
I66_WB,110-58634,corridor_start,AM,4.000000,2.000000,31346;31350,3679.846700,0.306700,0.000000,3942.252440,0.328521,1.136809,69.779333,70.072667,12,42.570638,70.373605,12
I66_WB,110-58634,corridor_start,MD,4.000000,2.000000,31346;31350,9960.474200,0.415000,0.000000,9373.985350,0.390583,2.547086,63.306333,70.067333,24,41.810827,70.362039,24
I66_WB,110-58634,corridor_start,PM,4.000000,2.000000,31346;31350,3089.986000,0.193100,0.000000,6786.285160,0.424143,1.849774,63.310000,67.904000,16,45.085670,68.267626,16
I66_WB,110+04181,behavior_diverse_2_of_5,AM,39.000000,2.000000,35786;31398,8738.649200,0.383300,0.000000,11507.944340,0.504734,1.660714,65.666000,66.792333,12,30.308028,66.727389,12
I66_WB,110+04181,behavior_diverse_2_of_5,MD,39.000000,2.000000,35786;31398,19599.974200,0.429800,0.000000,26069.550780,0.571701,3.874381,60.431333,65.657000,24,24.672756,65.649922,24
I66_WB,110+04181,behavior_diverse_2_of_5,PM,39.000000,2.000000,35786;31398,15809.389100,0.520000,0.000000,24759.478520,0.814457,3.865453,60.431667,62.787667,16,19.898621,62.660911,16
