corridor,period,n_selected_links,n_ready_links,P_A_mean,P_B_mean,P_C_mean,DC_obs_mean,DC_assignment_mean,duration_absolute_error_mean,projection_available
VA620_EB,PM,22,22,5.791666666666667,5.837117385985402,1.0393764545454547,1.4245639880818635,0.557927530167749,1.9806196666666667,True
VA620_WB,AM,22,22,4.125,4.1627792748955,0.2268747727272727,1.3674706404293264,0.4600210251623377,1.6293775000000001,True
VA620_WB,MD,22,22,,,0.0,,0.528732449239418,,True
VA620_WB,PM,22,22,7.1,7.184449553358628,1.8316134999999998,1.7440178502604051,0.8413014226866884,3.0704503,True
VA623_NB,AM,1,1,17.75,17.993973558530286,2.28092,5.812432250420217,0.185113875,15.46908,True
VA623_NB,MD,1,1,,,0.0,,0.17132820833333334,,True
VA623_NB,PM,1,1,,,0.0,,0.20274,,True
VA623_SB,AM,1,1,,,0.0,,0.13314995833333335,,True
VA623_SB,MD,1,1,,,0.0,,0.14957735416666668,,True
VA623_SB,PM,1,1,19.25,19.36778175054178,2.768339,4.7483839527541285,0.16876171875,16.481661,True
VA625_EB,AM,8,8,16.583333333333332,16.958797541927055,1.0383695,5.115631471558881,0.797059025710979,13.814348,True
VA625_EB,MD,8,8,4.75,4.842972679795536,0.2437625,0.7685627756579788,0.7656307710400132,2.7999,True
VA625_EB,PM,8,8,14.5,14.569274568681543,0.50491625,3.558550884395543,0.7399932329489088,10.46067,True
VA625_WB,AM,9,9,9.0,9.05468738193043,0.8735093333333334,2.9601452183704033,0.562039841122869,6.379472000000001,True
VA625_WB,MD,9,9,,,0.0,,0.708437072053204,,True
VA625_WB,PM,9,9,12.5,12.614542976369252,1.1126202222222221,3.0558817022869174,1.062238156139771,9.223834666666667,True
VA626_EB,AM,3,3,24.0,24.009423592444115,0.943696,7.356097216286329,0.36671089417989416,21.168912,True
VA626_EB,MD,3,3,,,0.0,,0.4556395436507937,,True
VA626_EB,PM,3,3,19.125,19.326044382438642,2.837044666666667,4.532150385252128,0.6809914444444445,14.869433,True
VA626_WB,AM,3,3,,,0.0,,0.43165085185185187,,True
VA626_WB,MD,3,3,,,0.0,,0.4593719563492063,,True
VA626_WB,PM,3,3,20.583333333333332,20.77437073656839,3.725693,4.7336871862426255,0.47355427182539683,16.857640333333332,True
VA628_EB,AM,2,2,24.0,24.361329575585096,3.000879,7.778670995667845,0.15602860416666667,20.999121000000002,True
VA628_EB,MD,2,2,,,0.0,,0.16968,,True
VA628_EB,PM,2,2,,,0.0,,0.19304653125,,True
VA628_WB,AM,3,3,,,0.0,,0.13880645833333333,,True
VA628_WB,MD,3,3,24.0,24.237993952117506,4.028455999999999,3.9040926783841066,0.1477192638888889,17.957316,True
VA628_WB,PM,3,3,,,0.0,,0.20234360416666664,,True
VA629_NB,AM,3,3,15.25,15.274207092159973,0.8689926666666666,5.047512859611917,0.30392344708994706,12.643022,True
VA629_NB,MD,3,3,,,0.0,,0.3241940793650793,,True
VA629_NB,PM,3,3,18.875,19.1836495212032,2.5265233333333335,4.557949041946617,0.36670957936507936,15.085214999999998,True
VA629_SB,AM,3,3,17.0,17.049326734052755,0.9668773333333333,5.501547809199014,0.28541183597883596,14.099368,True
VA629_SB,MD,3,3,,,0.0,,0.38845005687830686,,True
VA629_SB,PM,3,3,14.25,14.355906172392,2.6470380000000002,3.540029953197492,0.3844297638888889,10.279443,True
VA633_EB,AM,2,2,,,0.0,,0.7054021904761905,,True
VA633_EB,MD,2,2,,,0.0,,0.7579364854497355,,True
VA633_EB,PM,2,2,14.875,14.941575296786777,4.142303500000001,3.557892987715222,1.0577621984126984,10.7326965,True
VA633_WB,AM,2,2,,,0.0,,0.7421728981481481,,True
VA633_WB,MD,2,2,,,0.0,,0.7488882202380953,,True
VA633_WB,PM,2,2,14.375,14.290143566447522,3.922488,3.47326266716493,0.8961619365079365,10.452512,True
VA635_EB,AM,2,2,,,0.0,,0.06974372800453514,,True
VA635_EB,MD,2,2,,,0.0,,0.1202720209750567,,True
VA635_EB,PM,2,2,8.75,8.810873950499266,1.611247,2.1747372690678457,0.10423721156462586,5.527506,True
VA635_WB,AM,1,1,,,0.0,,0.24151199999999998,,True
VA635_WB,MD,1,1,,,0.0,,0.29873395,,True
VA635_WB,PM,1,1,18.25,18.353826033315823,3.614832,4.524750199091372,0.27325995000000003,14.635168,True
VA636_NB,AM,2,2,3.0,2.9939270956217636,1.27213,0.9895828014042134,0.6267660912698413,0.45574000000000003,True
VA636_NB,MD,2,2,15.75,15.999909318276952,3.039697,2.610157376765094,0.5237047817460317,9.670606,True
VA636_NB,PM,2,2,,,0.0,,0.5709516145833333,,True
VA636_SB,AM,2,2,,,0.0,,0.3223564583333333,,True
VA636_SB,MD,2,2,,,0.0,,0.40674790674603173,,True
VA636_SB,PM,2,2,14.875,14.918170108659192,3.9886489999999997,3.131387634032402,0.6678572321428572,10.886351000000001,True
VA637_NB,AM,5,5,,,0.0,,0.2864821058333334,,True
VA637_NB,MD,5,5,,,0.0,,0.29926625442460314,,True
VA637_NB,PM,5,5,11.25,11.298917219608647,1.6249056,2.788370054454809,0.35114527547619045,7.187736,True
VA637_SB,AM,5,5,,,0.0,,0.2513558022222222,,True
VA637_SB,MD,5,5,3.5,3.4981118367359225,0.5905007999999999,0.5812796961386049,0.286663708968254,0.5474960000000002,True
VA637_SB,PM,5,5,14.166666666666666,14.292731563383406,2.1207166,3.508184771019133,0.34409298247023806,10.632139,True
VA638_NB,AM,10,10,11.583333333333334,11.777747197635778,0.6848126999999999,3.77796877318726,0.40714074748677254,9.300624333333333,True
VA638_NB,MD,10,10,9.5,9.580855624734886,0.6949416,1.5732268206356428,0.43553796117724863,6.025291999999999,True
VA638_NB,PM,10,10,9.416666666666666,9.533282091654177,1.2748557000000003,2.3379912451882165,0.5755938708333334,5.167147666666666,True
VA638_SB,AM,8,8,2.5,2.513198630907868,0.50355925,0.8269348994864814,0.4028628601190476,0.48576299999999994,True
VA638_SB,MD,8,8,,,0.0,,0.390889015625,,True
VA638_SB,PM,8,8,12.7,12.821833356177738,2.4457020000000003,3.125815007949555,0.5499544259672619,8.7868768,True
VA639_EB,AM,4,4,24.0,,0.67783625,6.174966807311998,0.7048932453703703,21.288655,True
VA639_EB,MD,4,4,,,0.0,,0.7496061435185185,,True
VA639_EB,PM,4,4,16.625,16.761332571194057,2.0929699999999998,4.094122174506736,0.836401697420635,12.439060000000001,True
VA639_WB,AM,2,2,,,0.0,,0.2510295476190476,,True
VA639_WB,MD,2,2,,,0.0,,0.2848472738095238,,True
VA639_WB,PM,2,2,21.5,21.78987557267211,3.631783,5.218446355731748,0.27635156250000004,17.868217,True
VA640_EB,AM,13,13,24.0,23.95585062099733,0.11221769230769231,7.70419117613755,0.4661940150590151,22.54117,True
VA640_EB,MD,13,13,12.875,12.952912126731544,0.9248158461538462,2.088696206328001,0.3933745176536427,6.863696999999999,True
VA640_EB,PM,13,13,15.083333333333334,15.206040387035083,0.8282635384615384,3.7333054500311422,0.42089280811202695,11.494191333333333,True
VA640_WB,AM,17,17,,,0.0,,0.2592360005835668,,True
VA640_WB,MD,17,17,7.75,7.744474543775991,0.3409265294117647,1.251783266430002,0.3233029022914722,1.954249,True
VA640_WB,PM,17,17,16.285714285714285,16.4376147383937,1.723889411764706,3.904751171640299,0.5206446555497198,12.099125714285714,True
VA641_EB,AM,6,6,3.5,3.556062466046735,0.7742378333333333,1.1143292054142417,0.663616526675485,1.1772865000000001,True
VA641_EB,MD,6,6,11.125,11.244651965732437,1.3146345000000002,1.7965281137487061,0.5784913287037036,7.1810965,True
VA641_EB,PM,6,6,10.125,5.527561616263245,2.1948206666666668,2.456694749899799,0.5026246985780423,6.832769,True
VA641_NB,AM,8,8,20.25,20.871425776764326,0.29230025,6.204758366736773,0.389722209077381,17.911598,True
VA641_NB,MD,8,8,,,0.0,,0.48467069952876973,,True
VA641_NB,PM,8,8,18.4375,18.625331899119118,2.03230225,4.480300649036234,0.5656583091517857,14.372895499999998,True
VA641_SB,AM,8,8,24.0,24.73140779287785,0.312996125,7.615890825762789,0.4102109104662699,21.496031,True
VA641_SB,MD,8,8,6.5,6.510842591518262,0.431326625,1.063099308371063,0.505406019593254,3.049387,True
VA641_SB,PM,8,8,15.875,16.147541063963,0.909277375,3.9432899408835924,0.5781237503720238,12.237890499999999,True
VA641_WB,AM,6,6,10.75,10.789686382622756,0.6873761666666667,3.534166246251078,0.4081011031746032,8.6878715,True
VA641_WB,MD,6,6,17.5,17.562606082735833,1.0232478333333332,2.8218992302677126,0.48723515399029976,11.360513000000001,True
VA641_WB,PM,6,6,9.875,9.924264330451987,2.5248918333333337,2.413623211115045,0.6891871894841269,6.087662249999999,True
VA642_EB,AM,10,10,21.0,21.58951311016684,0.5471461,6.3204881514688065,0.2738889902447089,18.2642695,True
VA642_EB,MD,10,10,12.875,12.953160354823515,0.7984938,2.0568084315863926,0.23411443523478837,8.882531,True
VA642_EB,PM,10,10,4.0,3.997193030934935,0.26513770000000003,0.9925870212795472,0.2573175921626984,1.348623,True
VA642_WB,AM,9,9,,,0.0,,0.1487338588697825,,True
VA642_WB,MD,9,9,,,0.0,,0.21838034532995299,,True
VA642_WB,PM,9,9,15.75,16.050287971440582,1.7323603333333333,3.7881873171290783,0.37484460336750447,11.85218925,True
VA643_EB,AM,5,5,3.5,3.524585981463611,0.8150932,1.1598359293812182,0.4565804166666666,1.4622670000000002,True
VA643_EB,MD,5,5,3.0,2.982423837555,0.40009459999999997,0.4929493863430036,0.40332372083333334,0.999527,True
VA643_EB,PM,5,5,8.6875,8.717041746829654,2.9870196000000004,2.149579587958367,0.40334355625,4.953725499999999,True
VA643_NB,AM,11,11,6.416666666666667,6.51498651129378,0.6462297272727272,2.1218550664455216,0.37361149422799417,4.047157666666666,True
VA643_NB,MD,11,11,,,0.0,,0.3399466051587302,,True
VA643_NB,PM,11,11,17.75,15.384849268264865,0.9051982727272727,4.103216521049251,0.39632204662698417,14.430939666666667,True
VA643_SB,AM,11,11,2.5,2.4983102761759226,0.6109849090909091,0.8290666588238863,0.36399201707551704,0.25972199999999995,True
VA643_SB,MD,11,11,24.0,,0.5153434545454545,3.603676330633514,0.36033684764309765,18.331222,True
VA643_SB,PM,11,11,6.916666666666667,6.927724484845039,1.0266888181818183,1.7161597767888896,0.4978250742243867,3.152141,True
VA643_WB,AM,5,5,13.5,13.351140276191561,0.6984539999999999,4.350700009725951,0.39783911666666666,11.753865,True
VA643_WB,MD,5,5,,,0.0,,0.3660140083333333,,True
VA643_WB,PM,5,5,8.125,8.142422815284345,1.0694732,2.0029151842970534,0.52785749375,5.4513169999999995,True
VA644_EB,AM,13,13,3.25,3.257882780035104,0.315387076923077,1.0775641039035153,0.4456159062372812,1.199984,True
VA644_EB,MD,13,13,,,0.0,,0.45470223130341875,,True
VA644_EB,PM,13,13,13.035714285714286,13.156184006226486,2.2099989230769235,3.2017402954408474,0.6075705503281441,8.93143057142857,True
VA644_WB,AM,13,13,6.416666666666667,6.426457817922057,0.42690346153846154,2.123392729652147,0.35321279273504264,4.566751666666667,True
VA644_WB,MD,13,13,5.25,5.233457790778654,0.11193892307692307,0.8636840468096312,0.42606858552096055,3.794794,True
VA644_WB,PM,13,13,12.0,12.059332629466693,1.6369290769230769,2.9357578455214455,0.578505205128205,8.453320333333332,True
VA645_NB,AM,19,19,16.9375,17.1273484991379,0.6435176315789474,5.559962010955992,0.4428306710078767,13.88079125,True
VA645_NB,MD,19,19,7.0,6.9750090670983,0.2637509473684211,1.1515051577759785,0.3915388202127343,1.9887319999999997,True
VA645_NB,PM,19,19,10.3125,10.42436715846242,1.0919777368421053,2.416457861493825,0.5664556384972849,5.37281475,True
