run_id,data_basis,detector,corridor,sensor_uid,period,calibration_scope,f_d,n,f_p,s,alpha,beta,n_episodes,duration_r2,speed_r2,duration_rmse_hr,speed_rmse_mph,duration_bound_active,speed_bound_active,reliability,link_id,tmc_code,network_link_id,network_from_node_id,network_to_node_id,network_mapping_status
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10019,PM,sensor_period,4.058822111155939,1.0000000000000002,0.2695014138954348,0.05,0.154162866435732,0.05,12,0.995512934933722,-0.0334461487103865,0.1328910405367944,1.0951592679907989,True,True,low,34,110-10019,30698,34625,35907,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10030,AM,sensor_period,3.068588426848668,1.0293528770772655,0.0441718308729868,1.8604068354950585,0.1896916036488975,1.9150151286510493,17,0.9824062538125016,0.2563761948589708,0.0744816022274362,4.538396799655602,False,False,high,35,110-10030,29441,34252,34253,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10030,MD,corridor_period,6.157725788215785,1.021389292187578,0.0521741282694758,0.8186531800111037,0.1232297040654655,0.8361635920786511,130,0.9917353602224812,0.2131409779593618,0.6785774381738506,4.88678469557179,False,False,high,35,110-10030,29441,34252,34253,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10030,PM,corridor_period,4.099700606668074,1.0270681243318207,0.0612160188463595,0.8855582118730273,0.1138915494340319,0.9095286116550712,280,0.991335100114248,0.1957767754950041,0.7025099787960843,5.672876882718171,False,False,high,35,110-10030,29441,34252,34253,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10032,AM,sensor_period,3.024741567203918,1.000001050626711,0.1314223284867012,0.05,0.0740802261095299,0.0500000525313355,5,0.999364895453118,-0.0570386976543413,0.0123460556961199,1.0880912349338774,True,True,low,36,110-10032,35739,36647,36477,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10031,AM,corridor_period,3.111909543277336,1.0018052745475907,0.2175635736657688,0.3520624273449791,0.1730458472826055,0.3526979966842281,238,0.9973555605615052,0.0350896865030185,0.3412475492585172,5.234393813916621,False,False,high,37,110-10031,35231,36479,34252,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10034,AM,sensor_period,3.0316784438483477,1.0099813392164785,0.0713391920793219,1.0900691859694067,0.1274661469904974,1.1009495362839976,3,0.9998602895732244,0.1897234758774052,0.0027859810438007,1.2154036893375846,False,False,low,38,110-10034,35097,36435,34249,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10033,AM,sensor_period,3.024347862364871,1.0121533298852154,0.0152178140423157,2.0251208472707187,0.0763287872962638,2.049732808985026,6,0.9996882713531928,0.3728347151654737,0.0162012298970224,4.910677051028535,False,False,medium,39,110-10033,29433,34249,34250,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10033,MD,sensor_period,6.04516735140569,1.0000000455581382,0.1108505035307542,0.0500000000008004,0.064685481394701,0.0500000022787073,7,0.9998867504250648,-0.1143127863653183,0.0135976933779403,2.881848454801786,True,True,low,39,110-10033,29433,34249,34250,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10033,PM,sensor_period,4.039106851132234,1.007431826066865,0.0269419271317151,1.1467620170997712,0.0712348291623748,1.155284552950944,4,0.9999845098455696,0.926219062994654,0.0111753912725756,0.7281578071578598,False,False,low,39,110-10033,29433,34249,34250,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10035,AM,sensor_period,3.035446075336096,1.0000000000000002,0.2657347453795871,0.0500000395902868,0.1498160064487975,0.0500000395902868,9,0.999831254126332,-0.0357512340894565,0.0496492083432064,1.3548796974744048,True,True,low,40,110-10035,38242,40035,40885,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10035,MD,sensor_period,6.075842826956246,1.006488505001697,0.1456140190395392,0.3690103615152688,0.1511335368822684,0.3714046870916386,6,0.999685759986439,0.7708973955211931,0.1468418833586149,0.9589591132425646,False,False,medium,40,110-10035,38242,40035,40885,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10035,PM,sensor_period,4.071417107592413,1.0095045277025496,0.3196182626703361,0.05,0.1828595279475856,0.0504752263851274,12,0.997733100467366,-0.0498640954036646,0.2185549115289645,1.4273662050558449,False,True,low,40,110-10035,38242,40035,40885,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110N06995,AM,sensor_period,3.018045288884005,1.0092819501154202,0.0992757322770373,0.5930442674367185,0.1019390154129758,0.598548874743302,4,0.9998654856362575,0.937542009558626,0.0624236571714688,0.516583013619122,False,False,low,41,110N06995,31776,35059,35057,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110N06995,MD,sensor_period,6.204388411082495,1.003172754717416,0.1455543822468742,0.5337441747986582,0.2056470458549061,0.535437614147144,8,0.9963508617722284,-0.0797859087381658,0.1203285241741061,4.328666787566947,False,False,medium,41,110N06995,31776,35059,35057,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110N06995,PM,sensor_period,3.989923367234281,1.0270163145965208,0.0589787233989128,0.812760940887842,0.0968578027293829,0.8347187461586322,10,0.9968987960736,0.22393286393484,0.2250263214842835,4.685021461887744,False,False,high,41,110N06995,31776,35059,35057,mapped_primary_link
corridor-64406a8f77cd4cc4a2d06d5e608f54e4,daily,state_transition,VA123_SB,VA123_SB::110P06996,AM,sensor_period,3.064677594221253,1.0000000000000002,0.3387236032938172,0.0500000000793182,0.191057208604138,0.0500000000793182,14,0.9991739550366502,-0.0026325102191546,0.0856851722570646,2.189627818812551,True,True,low,1,110P06996,30231,34485,35972,mapped_primary_link
corridor-64406a8f77cd4cc4a2d06d5e608f54e4,daily,state_transition,VA123_SB,VA123_SB::110P06996,MD,sensor_period,6.076449118128024,1.0065309562859823,0.1006044487858041,0.6447943583773943,0.1717548170396435,0.6490054821454051,6,0.9999756831342754,0.6096323785416823,0.0153427758109024,1.293065450320381,False,False,medium,1,110P06996,30231,34485,35972,mapped_primary_link
corridor-64406a8f77cd4cc4a2d06d5e608f54e4,daily,state_transition,VA123_SB,VA123_SB::110P06996,PM,sensor_period,4.056159312069905,1.0048360510521317,0.0631294648511996,0.7026720565668638,0.0900608945627649,0.7060702145053276,5,0.9999941577525212,0.7081366139009423,0.0090680556496498,1.4972494683535829,False,False,medium,1,110P06996,30231,34485,35972,mapped_primary_link
corridor-64406a8f77cd4cc4a2d06d5e608f54e4,daily,state_transition,VA123_SB,VA123_SB::110P06995,AM,sensor_period,2.9865673029751267,1.0249039478573243,0.059108585118649,0.9433729173716324,0.0884940306421929,0.9668666273158674,10,0.9949573356928992,0.3796352098351048,0.2358468549133388,3.553556112182092,False,False,high,2,110P06995,31772,35057,35059,mapped_primary_link
corridor-64406a8f77cd4cc4a2d06d5e608f54e4,daily,state_transition,VA123_SB,VA123_SB::110P06995,MD,sensor_period,6.0237286165965855,1.022154683509455,0.1444628771453928,0.3420958153268139,0.1424110462476778,0.3496748398452884,7,0.9960170362527134,0.2734693717981262,0.2163326698180777,1.4412448269474498,False,False,medium,2,110P06995,31772,35057,35059,mapped_primary_link
corridor-64406a8f77cd4cc4a2d06d5e608f54e4,daily,state_transition,VA123_SB,VA123_SB::110P06995,PM,sensor_period,4.037986257894299,1.0000058654170134,0.1792434101875598,0.2649685028803347,0.1383746435524815,0.2649700570310995,6,0.9999168106152714,0.4339412256291175,0.028104552600542,0.5283289160832522,True,False,low,2,110P06995,31772,35057,35059,mapped_primary_link
corridor-64406a8f77cd4cc4a2d06d5e608f54e4,daily,state_transition,VA123_SB,VA123_SB::110P10023,AM,sensor_period,3.448256252593172,1.0000000000000002,0.0563000248293847,0.9931375539958603,0.1026638623415166,0.9931375539958608,3,,-0.007172802743409,0.153125282946788,0.9606916223213268,True,False,low,4,110P10023,35657,36620,34370,mapped_primary_link
corridor-64406a8f77cd4cc4a2d06d5e608f54e4,daily,state_transition,VA123_SB,VA123_SB::110P10023,MD,sensor_period,6.874033001881698,1.0000000000000002,0.0620901493934414,1.0020469735657809,0.22853188171692,1.002046973565781,7,,-0.0004303747133123,0.3808243906903605,0.6467945826934131,True,False,low,4,110P10023,35657,36620,34370,mapped_primary_link
