corridor,period,net_link_id,tmc_code,projection_status,speed_mae_cbi_mph,speed_mae_assignment_projection_mph
I495_CCW,PM,31698,110N04606,ready,4.592840782617169,10.059332878722993
I495_CCW,PM,32695,110-04605,ready,2.5121920724849716,13.597646924166927
I495_CCW,PM,31689,110N04605,ready,7.273623658949745,0.7547444946357983
I495_CCW,PM,31694,110-04604,ready,6.048151247529644,0.6049307682806337
I495_CCW,PM,31679,110N04604,ready,13.996353225578769,0.7653043831168844
I495_CCW,PM,31684,110-04603,ready,10.27405901356343,0.9186196549148296
I495_CCW,PM,32585,110N04603,ready,9.578257281667607,2.4965154338415214
I495_CCW,PM,33035,110-04648,ready,4.151261649834721,10.170973033629064
I495_CCW,PM,31677,110N04648,ready,2.457790448962197,5.474229213085716
I495_CCW,PM,31673,110-04647,ready,3.3387578389720587,4.933394404246704
I495_CCW,PM,32340,110N04647,ready,0.9799963331985735,4.460002911344079
I495_CCW,PM,32339,110-04646,ready,3.9494307431261833,8.739392194643756
I495_CCW,PM,28731,110N04646,ready,1.1180347757839688,13.703503890970572
I495_CCW,PM,28238,110N04645,ready,1.4885992268374217,15.335036448059965
I495_CW,AM,16465,110+04614,ready,20.22534730064621,1.2542203008344288
I495_CW,AM,28235,110P04645,ready,4.35411231884058,1.7105289855072467
I495_CW,AM,28736,110+04646,ready,2.3209667325428196,1.6313076416337278
I495_CW,AM,28734,110P04646,ready,0.7818618247694348,1.4691734189723327
I495_CW,AM,32770,110+04647,ready,5.841899703557313,1.8994830368906452
I495_CW,AM,32337,110P04647,ready,3.855297156346069,2.9110362867808526
I495_CW,AM,32338,110+04648,ready,3.869832015810277,2.37241534914361
I495_CW,AM,31963,110P04648,ready,3.332232789855073,2.262732789855074
I495_CW,AM,31965,110+04603,ready,8.378096900683856,1.975709219524439
I495_CW,AM,32096,110P04603,ready,4.041850645433741,5.086025000361941
I495_CW,AM,32094,110+04604,ready,2.81454334013153,7.79182587398521
I495_CW,AM,31969,110P04604,ready,2.7352266341337295,9.091797597916424
I495_CW,AM,32710,110+04605,ready,2.124417426950061,4.555835727250965
I495_CW,AM,31975,110P04605,ready,2.154075543964234,5.661878088990309
I495_CW,AM,32702,110+04606,ready,1.963536167275113,6.111101379266238
I495_CW,AM,31979,110P04606,ready,10.016518115942025,2.681141304347823
I495_CW,AM,31977,110+04607,ready,5.314211956521738,1.782222826086955
I495_CW,AM,31988,110P04607,ready,9.194958415678526,1.6488459321475617
I495_CW,AM,32677,110+04608,ready,11.716940876152831,1.5415848155467717
I495_CW,AM,31996,110P04608,ready,11.81200781102955,1.5017650574063606
I495_CW,AM,32658,110+04609,ready,11.927422360248448,3.3081682194616975
I495_CW,AM,32004,110P04609,ready,8.56019313690262,2.1273630973769313
I495_CW,AM,32001,110+04610,ready,9.939146158792902,2.83022175952067
I495_CW,AM,32010,110P04610,ready,7.978188405797101,2.132880434782608
I495_CW,AM,32633,110+04611,ready,9.097727351151264,2.5105116067507365
I495_CW,AM,32012,110P04611,ready,15.32009855756891,7.95142662081002
I495_CW,AM,32757,110+04612,ready,13.58273509552042,3.0656100955204217
I495_CW,AM,32018,110P04612,ready,15.891562903883559,1.7966462372168899
I495_CW,AM,32759,110+04613,ready,22.787813401875898,1.4721933425873661
I495_CW,MD,16465,110+04614,ready,27.629408996800304,10.566543737060043
I495_CW,MD,28235,110P04645,ready,2.7094801959815555,1.3281810359025021
I495_CW,MD,28736,110+04646,ready,1.4452591814888003,0.5549437170619237
I495_CW,MD,28734,110P04646,ready,0.29906899810964044,0.2976909262759922
I495_CW,MD,32770,110+04647,ready,4.8528378505552405,3.235203816111427
I495_CW,MD,32337,110P04647,ready,3.6220999200075306,5.47833848578957
I495_CW,MD,32338,110+04648,ready,3.2519589136708693,1.8203019558943474
I495_CW,MD,31963,110P04648,ready,2.0839075469367585,1.259538105237155
I495_CW,MD,31965,110+04603,ready,7.493013422266138,0.7783828227931503
I495_CW,MD,32096,110P04603,ready,6.089552061766735,6.535114604899931
I495_CW,MD,32094,110+04604,ready,14.130380399491813,10.638119600508187
I495_CW,MD,31969,110P04604,ready,16.87872492392873,9.62763014853504
I495_CW,MD,32710,110+04605,ready,14.499082032920965,6.433244806905875
I495_CW,MD,31975,110P04605,ready,16.767791389241797,4.582841186515779
