corridor,period,mapped_physical_link_count,zero_assignment_link_count,doc_le_0_10_link_count,doc_le_0_25_link_count,mapmatching_review_link_count,formula_review_link_count,median_assignment_volume,median_assignment_D_vphpl,median_assignment_doc,median_synthetic_period_volume,zero_assignment_positive_synthetic_count
VA659_NB,AM,35,0,0,3,6,24,2150.896400,835.171000,1.077900,4498.184528,0
VA659_NB,MD,35,0,0,2,6,19,4161.197600,1234.125800,1.442700,9176.726848,0
VA659_NB,PM,35,0,0,2,6,0,3501.689200,1580.404200,1.945400,6295.327438,0
VA659_SB,AM,35,0,1,3,9,22,1734.318900,739.660700,0.919200,4460.674150,0
VA659_SB,MD,35,0,0,2,9,21,4188.197800,1337.691500,1.537700,8535.252915,0
VA659_SB,PM,35,0,0,1,9,0,3637.013100,1651.903400,2.020600,5903.850051,0
VA7_EB,AM,160,0,0,6,3,102,6479.270650,1571.038750,1.775500,6241.096053,0
VA7_EB,MD,160,0,1,8,3,89,9793.181650,1286.093050,1.457700,12724.189074,0
VA7_EB,PM,160,0,1,9,3,11,9018.794250,2699.385050,3.263550,7745.099354,0
VA7_WB,AM,160,0,0,12,1,95,5181.060500,1143.931250,1.347350,6748.956691,0
VA7_WB,MD,160,0,1,8,1,97,9246.878700,1987.426600,2.470650,12944.696854,0
VA7_WB,PM,160,0,0,2,1,17,9474.765100,2660.771600,3.330500,8020.365198,0
